,loan_id,account_id,loan_date,amount,duration,payments,status,birth_number,client_district,account_district,frequency,account_date,card_type,name,region,no. of inhabitants,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,unemploymant rate '95 ,unemploymant rate '96 ,no. of enterpreneurs per 1000 inhabitants ,no. of commited crimes '95 ,no. of commited crimes '96 ,trans_date_min,trans_date_max,trans_amount_min,trans_amount_max,trans_amount_mean,trans_amount_std,trans_amount_last,trans_balance_min,trans_balance_max,trans_balance_mean,trans_balance_std,trans_balance_last,trans_type_n_credit,trans_type_n_withdrawal,operation_n_credit_cash,operation_n_collection_from_another_bank,operation_n_withdrawal_in_cash,operation_n_remittance_to_another_bank,operation_n_credit_card_withdrawal,operation_n_interest_credited
41,5131,816,950108,48624,24,2026,1.0,610930,40,52,monthly issuance,930805,none,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,930805,950107,14.6,52900.0,12180.788034188035,13769.74792720699,4514.0,200.0,134187.4,63857.2367521368,25825.858181660515,47993.6,49,68,32,0,56,12,0,17
42,5132,817,950217,538500,60,8975,1.0,600628,5,5,monthly issuance,940318,none,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,940318,950214,14.6,32082.0,8499.93448275862,9031.132406245684,4605.0,200.0,69775.9,33687.85862068966,13408.02036465337,23271.0,22,36,12,0,29,7,0,10
44,5136,846,960728,187104,24,7796,1.0,775510,72,72,monthly issuance,960309,none,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,960309,960721,2.5,49500.0,19621.447999999997,17246.115081570304,43502.0,300.0,137193.5,66292.37199999999,34581.40134837078,133377.7,16,9,12,0,9,0,0,4
45,5138,854,950530,87216,48,1817,1.0,545316,1,62,monthly issuance,930921,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930921,950514,14.6,15608.0,2960.6979729729724,3810.4163669409736,2400.0,700.0,43787.3,30847.149324324353,6554.760512834303,29638.3,41,107,22,0,60,47,0,19
47,5145,915,950916,309552,48,6449,1.0,350129,72,72,monthly issuance,950118,none,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,950118,950915,14.6,58041.0,17429.002857142856,17249.725612557468,16300.0,700.0,121713.2,56105.49999999996,21979.384405419012,51799.4,16,19,1,8,15,4,0,7
49,5148,940,960529,284280,60,4738,1.0,585915,37,37,monthly issuance,941115,none,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,941115,960512,14.6,56800.0,14790.5,16760.503592384168,4600.0,300.0,109361.9,64182.6414893617,20167.802429516258,94617.3,36,58,1,18,58,0,0,17
50,5151,960,950524,189060,60,3151,1.0,586230,4,4,issuance after transaction,941102,none,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,941102,950516,100.0,60016.0,17833.45,18365.540325815025,3400.0,200.0,101793.6,72242.8966666667,24683.06321415813,68945.6,14,16,1,7,13,3,0,6
53,5160,1011,951218,204000,60,3400,1.0,440506,45,45,monthly issuance,941217,none,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,941217,951212,14.6,30604.0,7701.987692307691,8253.162837711592,4500.0,400.0,68172.8,37809.39846153843,12656.782825432134,45077.7,25,40,2,12,32,8,0,11
54,5161,1012,941028,98184,24,4091,1.0,455612,65,65,monthly issuance,940709,none,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,940709,941010,74.1,24545.0,9311.157142857142,11275.937707328843,24545.0,500.0,68956.1,41660.392857142855,19672.650902026955,68956.1,11,3,1,4,3,0,0,6
56,5170,1071,940120,253200,60,4220,1.0,505313,52,68,weekly issuance,930510,none,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,930510,940119,30.0,46304.0,11912.358536585367,14459.62044505276,12950.0,800.0,104417.9,47302.546341463436,26552.739504598183,81150.6,21,20,13,0,20,0,0,8
59,5176,1106,941112,192552,24,8023,-1.0,636231,20,20,weekly issuance,930829,none,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,930829,941031,10.2,23844.0,5774.419607843138,6781.366772355544,30.0,800.0,49563.0,23979.01176470588,13015.026674865436,22225.5,26,25,12,0,25,0,0,14
60,5189,1166,940207,149040,48,3105,1.0,686220,11,11,monthly issuance,930421,none,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,930421,940131,14.6,27946.0,6682.029629629629,7629.030412383201,126.7,200.0,62441.6,36845.58888888889,12658.246764300018,19048.1,20,34,2,9,29,5,0,9
63,5208,1247,950316,99696,48,2077,-1.0,715625,65,25,monthly issuance,930608,none,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,930608,950304,0.4,55900.0,11716.779629629631,14212.581731327866,2000.0,-974.6,127684.9,46341.29351851856,28762.206936050658,32966.8,45,63,31,0,63,0,0,14
64,5209,1250,961125,182640,48,3805,1.0,425419,62,62,monthly issuance,960328,none,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,960328,961123,11.5,34246.0,9227.599999999999,9813.317534102734,900.0,600.0,64411.8,37802.23000000001,14199.381522847558,23898.3,17,23,2,8,16,7,0,7
66,5212,1256,950529,71064,36,1974,1.0,466017,38,38,monthly issuance,940421,none,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,940421,950516,14.6,22908.0,4896.447674418605,5908.16859840931,3000.0,700.0,55373.3,34577.30232558138,9923.171541124484,31397.0,29,57,17,0,39,18,0,12
72,5237,1375,950829,45336,24,1889,1.0,570429,19,19,monthly issuance,940427,none,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,940427,950820,14.6,30436.0,7594.23222222222,8452.877659938886,11900.0,800.0,71486.0,48152.953333333375,11574.102240004077,40939.5,33,57,18,0,45,12,0,15
78,5269,1527,941119,164052,36,4557,-1.0,755912,31,31,issuance after transaction,931117,none,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,931117,941112,0.4,48181.0,11809.263076923078,13989.46840529253,10800.0,-2564.7,112045.6,41752.16153846152,30609.38988808058,20811.2,28,37,16,0,37,0,0,12
81,5282,1583,960824,388512,48,8094,-1.0,695313,69,69,issuance after transaction,941117,none,Jesenik,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,941117,960808,2.4,44700.0,7319.423333333334,9421.672615111487,35300.0,-2838.8,84743.5,21371.32,21196.682131732654,38697.3,54,66,33,0,66,0,0,21
82,5285,1603,940206,78936,12,6578,1.0,575122,31,1,monthly issuance,930509,none,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,930509,940205,14.6,11416.0,3259.0000000000005,3214.6190370866652,1187.0,900.0,40560.3,25900.319607843132,7684.869705311071,24601.0,24,27,15,0,18,9,0,9
85,5301,1698,960706,141948,36,3943,1.0,505926,68,68,monthly issuance,960314,none,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,960314,960630,49.6,28840.0,8963.98,10820.65532763869,176.6,800.0,63263.1,32592.68,17970.97897715462,47239.7,7,3,4,0,3,0,0,3
87,5310,1762,950428,248148,36,6893,1.0,405724,28,28,monthly issuance,931211,none,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,931211,950420,14.6,28960.0,5453.364999999996,7163.2626596780465,6100.0,600.0,67486.0,36063.78833333336,10761.578895609015,41108.6,37,83,22,0,50,33,0,15
88,5311,1766,960615,30060,60,501,1.0,510906,28,28,monthly issuance,940903,classic,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,940903,960613,14.6,29412.0,4858.978494623655,7343.0671097830955,29412.0,500.0,69382.9,37213.407526881754,11270.503745870139,48523.3,45,141,24,0,65,68,8,21
89,5312,1772,960313,202788,36,5633,1.0,535720,31,31,weekly issuance,950220,none,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,950220,960312,30.0,72298.0,16141.211392405066,18880.84826895713,11994.0,1100.0,139880.9,57124.26835443034,23297.66357464454,81623.6,26,53,1,13,44,9,0,12
91,5314,1787,930705,96396,12,8033,-1.0,475722,30,30,weekly issuance,930322,none,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,930322,930620,1100.0,9900.0,5025.0,3774.8068383251966,3300.0,1100.0,20100.0,12250.0,8330.8663014919,20100.0,4,0,4,0,0,0,0,0
92,5316,1801,930711,165960,36,4610,1.0,680722,46,46,monthly issuance,930213,none,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,930213,930709,2.9,54300.0,11015.635135135135,14040.410909609294,3419.0,700.0,120512.8,52083.85945945945,29122.05945394563,52208.9,17,20,12,0,12,8,0,5
94,5319,1811,940623,239460,60,3991,1.0,425913,68,40,monthly issuance,930922,none,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,930922,940619,14.6,35918.0,9689.680434782607,10538.504883302303,7400.0,300.0,74408.8,40061.58043478263,16062.53213841481,36240.6,18,28,1,9,20,8,0,8
96,5325,1843,930803,105804,36,2939,1.0,405420,14,12,monthly issuance,930130,none,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,930130,930731,14.6,26448.0,8253.080000000002,7773.338885736295,14.6,1000.0,65898.5,41297.479999999996,14151.260443037105,34292.7,13,12,2,6,10,2,0,5
97,5329,1862,961016,396120,60,6602,1.0,505102,19,19,weekly issuance,950415,none,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,950415,961008,30.0,59415.0,15418.108421052631,17115.753879665655,39610.0,500.0,104859.1,58855.27789473691,20275.14198096615,88610.1,36,59,1,18,59,0,0,17
100,5337,1886,960731,162468,36,4513,1.0,575823,32,32,monthly issuance,960305,none,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,960305,960716,70.9,40614.0,15082.586666666666,14926.394431957806,1800.0,700.0,83862.8,51279.553333333344,24180.888923925817,74638.8,10,5,1,5,5,0,0,4
104,5350,1967,960421,249312,48,5194,1.0,550521,26,26,weekly issuance,950213,none,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,950213,960418,30.0,47112.0,9995.911666666665,12147.352651058733,5300.0,900.0,88597.4,35914.85499999999,23021.04106123776,55426.5,30,30,17,0,24,6,0,13
105,5351,1978,941204,205200,36,5700,1.0,635125,1,57,weekly issuance,930611,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930611,941203,30.0,51303.0,9244.202325581395,12021.944876820999,12400.0,900.0,93928.5,58336.31162790698,17204.070909560676,54586.0,36,93,2,17,54,39,0,17
106,5352,1993,950415,68400,12,5700,-1.0,765609,68,68,monthly issuance,941030,none,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,941030,950331,66.2,31037.0,7253.299999999998,9306.829579400282,147.7,800.0,51242.2,31793.735714285714,12297.15509867766,23946.1,9,5,4,0,5,0,0,5
112,5366,2062,961029,86184,12,7182,1.0,406204,70,70,monthly issuance,960306,none,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,960306,961028,14.6,64642.0,16607.014285714282,18288.111233411848,18346.0,300.0,128146.0,60273.67857142853,25642.077157191914,39660.8,16,26,1,8,20,6,0,7
116,5375,2106,961003,101520,12,8460,1.0,766012,1,1,monthly issuance,960201,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,960201,960930,14.6,18513.0,5370.042105263158,5266.370364339698,14.6,400.0,43218.7,26449.092105263157,10352.391968575044,16720.8,18,20,10,0,16,4,0,8
120,5385,2143,960909,71460,36,1985,1.0,805831,1,1,monthly issuance,960113,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,960113,960831,14.6,33669.0,10132.919354838708,10402.762744976912,14.6,700.0,76403.1,49220.9806451613,16380.59460647302,49648.9,16,15,9,0,12,3,0,7
121,5388,2153,961128,61560,12,5130,1.0,430104,31,31,weekly issuance,960107,none,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,960107,961113,30.0,46166.0,9739.39718309859,11617.221354178973,10303.0,200.0,73559.9,32967.71267605635,17762.224670277326,20051.1,22,49,1,11,29,20,0,10
123,5390,2167,941030,170256,24,7094,1.0,655716,16,16,monthly issuance,930808,none,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,930808,941027,14.6,36552.0,9089.424675324672,10042.31500448236,3720.0,200.0,79869.8,40091.18311688309,13589.38398884065,43302.8,31,46,18,0,36,10,0,13
124,5395,2176,940730,299088,36,8308,-1.0,666210,67,67,monthly issuance,930606,none,Bruntal,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,930606,940723,14.6,59400.0,12746.586507936514,14604.929849189155,14198.0,500.0,193909.9,51992.854761904746,33855.698025767204,19448.5,46,80,33,0,56,24,0,13
126,5409,2218,951118,182040,60,3034,1.0,515324,19,19,monthly issuance,941121,none,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,941121,951117,14.6,61557.0,17539.79661016949,19380.07710467355,3000.0,600.0,110447.5,67475.90169491527,21927.679528674224,38747.5,24,35,1,12,35,0,0,11
127,5413,2227,951212,92976,24,3874,1.0,706007,31,31,weekly issuance,940522,none,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,940522,951211,30.0,48996.0,12039.466972477063,12340.685993283558,13386.0,300.0,122342.1,50436.466055045865,26490.316135252076,21531.8,50,59,34,0,48,11,0,16
128,5414,2228,950329,185952,48,3874,1.0,450222,34,34,monthly issuance,940319,none,Chomutov,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,940319,950325,68.7,57400.0,12283.385294117646,15880.145513895786,35092.0,700.0,145318.2,50113.19411764706,31588.379961912357,82385.2,20,14,10,0,13,1,0,10
129,5415,2236,960926,139464,36,3874,-1.0,580812,73,73,monthly issuance,950827,none,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,950827,960920,20.2,36854.0,8131.070967741934,11582.127317961169,23400.0,300.0,65062.8,31532.748387096784,12989.781215090346,41662.8,19,12,7,0,12,0,0,12
130,5418,2245,950116,347952,48,7249,1.0,646030,29,29,monthly issuance,930330,none,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,930330,950113,14.6,54600.0,13441.428333333335,14008.318072651286,5800.0,300.0,123013.2,54157.19416666667,23422.026500661654,57546.3,50,70,31,0,70,0,0,19
134,5429,2268,960718,20196,36,561,1.0,710225,1,1,monthly issuance,950211,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,950211,960713,14.6,35469.0,8501.322916666664,10375.375806930955,5742.0,200.0,77158.8,52636.598958333314,15288.688964738765,65684.6,34,62,18,0,49,13,0,16
136,5445,2322,960629,46320,24,1930,1.0,790214,33,33,monthly issuance,950102,none,Decin,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,950102,960625,14.6,61600.0,8064.270224719102,13242.48398673096,11352.0,900.0,119892.5,43657.81348314611,20752.088935048898,26652.7,48,130,31,0,66,64,0,17
139,5449,2343,951104,99336,24,4139,1.0,805709,68,68,monthly issuance,941209,none,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,941209,951031,14.6,16866.0,4348.373076923077,4545.70562619768,130.2,300.0,46568.0,27019.571153846144,7892.721828749214,30838.7,24,28,14,0,22,6,0,10
140,5450,2345,941211,199680,60,3328,1.0,490523,52,5,monthly issuance,931025,none,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,931025,941130,14.6,29954.0,7353.527027027026,8335.628568689343,137.0,500.0,62238.8,33658.61756756758,11909.168772706618,19938.6,28,46,2,13,37,9,0,13
142,5452,2352,960429,49440,60,824,1.0,666006,70,70,monthly issuance,950121,none,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,950121,960415,4.0,30378.0,5547.669999999998,7938.2551441072355,8000.0,300.0,74419.8,47798.86545454537,12804.463916870107,45021.6,31,79,17,0,47,32,0,14
143,5453,2361,950401,156672,36,4352,1.0,565425,28,28,monthly issuance,940225,none,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,940225,950331,11.2,10380.0,3313.364,2959.2808524972347,80.2,500.0,41876.9,22927.502666666693,6686.145590252044,23286.1,37,38,24,0,30,8,0,13
145,5464,2419,950130,95808,12,7984,1.0,400907,43,24,monthly issuance,931127,none,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,931127,950129,14.6,57700.0,16058.694444444449,15060.06713687052,26373.0,900.0,122452.2,59701.78666666667,24705.82136034003,72500.4,40,50,27,0,50,0,0,13
147,5470,2456,960415,200976,48,4187,1.0,550220,65,65,monthly issuance,950909,none,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,950909,960414,14.6,37686.0,11032.88857142857,10897.915872657148,25124.0,600.0,83553.5,47938.06571428571,18916.939576271827,47431.4,17,18,2,8,15,3,0,7
148,5479,2486,940110,24516,12,2043,1.0,581007,1,1,monthly issuance,930227,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930227,931231,12.5,59200.0,16201.558904109586,17640.206218149582,290.4,200.0,125254.2,55582.22602739725,29534.218113303323,78670.8,31,42,21,0,42,0,0,10
149,5482,2496,960112,165120,60,2752,1.0,505318,51,51,monthly issuance,940521,none,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,940521,960111,14.6,11210.0,3217.2706896551717,3041.2806947936824,1080.0,1100.0,37946.3,24377.371551724114,6878.836566414742,22745.4,50,66,31,0,51,15,0,19
152,5494,2572,960613,360000,48,7500,1.0,735307,64,64,issuance after transaction,941113,none,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,941113,960609,0.3,73228.0,14897.402205882352,19720.18680559281,34500.0,600.0,126072.0,51149.65514705883,26193.21138092937,64765.2,57,79,2,19,79,0,0,36
153,5495,2580,960802,89340,60,1489,1.0,716112,60,60,monthly issuance,951109,none,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,951109,960731,14.6,17313.0,4662.4681818181825,4918.618016947289,14.6,500.0,54020.1,39644.76363636365,10748.387757632041,41522.6,20,24,11,0,19,5,0,9
155,5519,2694,940308,91632,12,7636,1.0,626228,52,7,monthly issuance,930308,none,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,930308,940303,14.6,26378.0,6304.1057142857135,7061.299538767545,6100.0,700.0,64577.8,40976.942857142836,10641.422753595749,33061.9,27,43,15,0,35,8,0,12
157,5523,2705,931208,93888,36,2608,1.0,506020,63,63,issuance after transaction,930705,none,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,930705,931202,48.0,15649.0,7121.915789473684,6970.29789912272,12000.0,600.0,52378.2,37510.49473684211,14598.865783434976,34716.3,12,7,2,5,7,0,0,5
163,5533,2762,940705,111384,24,4641,1.0,670210,11,19,monthly issuance,930320,none,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,930320,940702,14.6,61700.0,13525.02368421053,15792.305188520844,31759.0,500.0,141386.0,65097.22434210526,26285.863067554485,52318.9,55,97,39,0,69,28,0,16
164,5549,2824,940716,50460,60,841,1.0,476017,11,11,monthly issuance,931020,none,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,931020,940710,14.6,22927.5,6392.972093023257,6840.6416419432735,600.0,800.0,51971.4,37570.627906976755,10371.123781863109,41531.0,19,24,11,0,19,5,0,8
167,5563,2912,960229,380160,60,6336,1.0,491215,74,74,monthly issuance,940730,none,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,940730,960221,14.6,62500.0,15887.993577981657,16718.172285078577,6100.0,1100.0,147375.1,64777.07522935782,27227.866078850297,24549.6,47,62,32,0,62,0,0,15
