,gender,age
269,F,47
270,M,19
271,M,37
272,M,41
273,M,40
274,F,44
275,F,41
276,M,56
277,M,31
278,M,60
279,M,25
280,F,75
281,M,78
282,F,42
283,M,57
284,M,28
285,M,53
286,F,65
287,M,61
288,F,23
289,F,30
290,M,49
291,F,69
292,M,75
293,F,57
294,M,54
295,M,32
296,M,44
297,F,42
298,F,56
299,F,70
300,M,65
301,F,56
302,M,66
303,F,61
304,M,39
305,M,39
306,F,32
307,M,31
308,F,81
309,M,35
310,F,55
311,M,57
312,M,21
313,M,28
314,M,30
315,F,32
316,F,35
317,M,42
318,F,48
319,M,33
320,F,29
321,M,22
322,F,27
323,M,80
324,F,36
325,M,46
326,F,39
327,M,40
328,F,46
329,F,72
330,F,74
331,M,26
332,M,59
333,M,34
334,F,77
335,M,69
336,F,20
337,M,20
338,F,40
339,M,29
340,M,56
341,F,22
342,F,49
343,M,57
344,F,57
345,M,69
346,F,63
347,F,36
348,M,31
349,F,69
350,F,43
351,M,57
352,M,67
353,M,63
354,M,32
355,F,30
356,F,26
357,M,21
358,F,16
359,M,26
360,F,22
361,M,21
362,F,60
363,M,64
364,M,51
365,M,19
366,M,72
367,F,49
368,F,25
369,F,22
370,F,66
371,F,49
372,M,43
373,F,75
374,M,80
375,M,79
376,M,69
377,F,74
378,M,47
379,M,66
380,F,71
381,M,56
382,F,26
383,M,32
384,F,65
385,M,22
386,F,24
387,F,21
388,M,74
389,M,37
390,F,58
391,M,55
392,F,27
393,F,52
394,M,54
395,F,67
396,M,69
397,M,33
398,F,29
399,M,21
400,M,34
401,M,53
402,M,42
403,M,52
404,M,51
405,M,62
406,F,58
407,F,80
408,F,18
409,M,79
410,F,72
411,F,47
412,M,44
413,F,56
414,M,32
415,M,44
416,F,79
417,M,61
418,F,31
419,F,29
420,M,40
421,F,28
422,M,28
423,F,39
424,F,52
425,M,47
426,M,53
427,F,29
428,M,46
429,M,20
430,F,46
431,M,30
432,F,50
433,M,79
434,M,59
435,M,49
436,M,38
437,F,32
438,F,29
439,M,29
440,M,55
441,F,40
442,M,47
443,F,52
444,M,49
445,M,40
446,F,29
447,F,45
448,M,22
449,M,18
450,F,60
451,M,50
452,F,52
453,M,45
454,M,21
455,M,52
456,F,53
457,M,72
458,F,65
459,M,55
460,F,40
461,M,21
462,M,55
463,F,77
464,M,82
465,M,59
466,M,49
467,M,33
468,M,64
469,F,57
470,M,19
471,F,62
472,F,48
473,M,46
474,F,51
475,F,64
476,M,28
477,M,62
478,M,80
479,M,40
480,M,20
481,M,22
482,M,53
483,M,45
484,M,28
485,M,19
486,M,23
487,M,40
488,F,34
489,F,25
490,M,31
491,M,67
492,F,69
493,M,34
494,F,20
495,M,19
496,F,52
497,M,24
498,F,43
499,M,77
500,F,36
501,M,30
502,M,35
503,F,33
504,M,22
505,M,21
506,F,42
507,M,23
508,F,19
509,F,58
510,M,42
511,M,62
512,M,60
513,M,64
514,F,51
515,M,78
516,F,72
517,F,78
518,F,41
519,M,51
520,F,26
521,M,46
522,M,50
523,M,62
524,M,38
525,F,23
526,F,65
527,M,58
528,F,74
529,M,73
530,M,53
531,M,60
532,F,79
533,F,27
534,F,32
535,F,37
536,F,24
537,F,38
538,M,44
539,F,40
540,F,53
541,M,49
542,F,39
543,M,37
544,F,58
545,M,75
546,F,79
547,M,32
548,M,27
549,M,29
550,F,25
551,F,36
552,F,22
553,F,66
554,F,50
555,M,49
556,F,34
557,F,23
558,F,57
559,M,52
560,F,54
561,F,39
562,M,38
563,M,50
564,F,25
565,M,34
566,F,45
567,M,51
568,M,56
569,M,29
570,F,22
571,M,33
572,F,34
573,F,33
574,F,34
575,F,29
576,F,50
577,M,35
578,M,27
579,M,37
580,F,20
581,M,47
582,F,39
583,F,22
584,F,52
585,F,50
586,M,24
587,M,25
588,F,67
589,M,79
590,F,81
591,M,60
592,F,68
593,M,74
594,F,67
595,F,21
596,M,19
597,M,27
598,F,29
599,M,23
600,M,47
601,F,43
602,M,53
603,F,61
604,F,72
605,M,64
606,F,29
607,F,38
608,M,21
609,M,20
610,F,37
611,M,36
612,F,50
613,F,38
614,M,74
615,F,77
616,M,70
617,F,64
618,F,21
619,F,23
620,M,61
621,F,69
622,F,57
623,M,57
624,M,43
625,F,73
626,M,73
627,M,34
628,M,76
629,F,80
630,M,54
631,M,76
632,F,19
633,F,67
634,M,17
635,F,18
636,F,57
637,F,43
638,M,40
639,F,28
640,F,70
641,M,60
642,F,72
643,M,24
644,M,46
645,M,36
646,F,66
647,M,59
648,F,59
649,M,22
650,M,20
651,F,54
652,F,23
653,F,69
654,F,28
655,M,24
656,M,45
657,M,35
658,M,57
659,F,55
660,F,63
661,M,64
662,M,63
663,M,44
664,F,47
665,M,25
666,M,45
667,F,77
668,M,70
669,F,31
670,M,40
671,M,24
672,M,61
673,M,51
674,M,58
675,F,22
676,M,65
677,M,74
678,F,36
679,M,37
680,F,19
681,M,29
682,F,47
683,F,45
684,M,31
685,F,39
686,M,25
687,M,45
688,M,59
689,F,29
690,F,42
691,F,46
692,M,43
693,M,64
694,F,69
695,M,67
696,F,30
697,M,26
698,F,20
699,M,21
700,M,21
701,F,14
702,M,26
703,F,22
704,M,47
705,M,79
706,M,57
707,M,76
708,M,58
709,F,48
710,M,58
711,M,59
712,F,33
713,M,37
714,F,46
715,M,63
716,F,66
717,F,43
718,M,40
719,M,55
720,F,59
721,F,52
722,M,52
723,M,79
724,F,29
725,F,38
726,M,44
727,F,63
728,M,62
729,F,72
730,F,44
731,M,30
732,F,73
733,M,76
734,F,68
735,M,22
736,M,55
737,M,64
738,M,26
739,F,59
740,F,46
741,M,38
742,M,59
743,F,55
744,M,75
745,M,54
746,F,36
747,F,28
748,M,35
749,M,65
750,M,21
751,M,52
752,M,25
753,M,68
754,F,32
755,F,49
756,M,21
757,F,20
758,M,80
759,M,51
760,F,59
761,M,63
762,M,48
763,F,43
764,M,19
765,F,30
766,M,36
767,M,80
768,F,54
769,M,59
770,M,59
771,M,35
772,M,40
773,F,35
774,F,41
775,M,33
776,M,41
777,F,39
778,M,51
779,F,40
780,M,43
781,M,47
782,M,22
783,M,21
784,F,34
785,M,41
786,M,42
787,M,51
788,M,51
789,F,76
790,M,39
791,M,77
792,F,56
793,M,51
794,M,25
795,F,31
796,F,44
797,M,62
798,M,18
799,F,66
800,F,42
801,M,54
802,F,46
803,M,50
804,M,20
805,F,60
806,M,30
807,M,80
808,F,83
809,M,50
810,F,58
811,M,69
812,M,80
813,M,51
814,F,40
815,F,31
816,M,32
817,F,43
818,M,47
819,F,31
820,M,46
821,F,53
822,F,24
823,M,42
824,M,25
825,M,36
826,M,55
827,F,47
828,M,43
829,M,39
830,F,72
831,M,79
832,F,56
833,M,39
834,F,24
835,F,66
836,F,79
837,M,81
838,M,76
839,M,51
840,F,26
841,M,26
842,F,18
843,M,80
844,M,68
845,F,77
846,F,64
847,M,65
848,M,29
849,F,26
850,M,18
851,F,56
852,M,55
853,M,22
854,M,80
855,M,49
856,M,65
857,M,67
858,M,59
859,M,21
860,M,51
861,F,38
862,M,24
863,M,38
864,M,60
865,M,79
866,M,61
867,F,78
868,M,24
869,M,41
870,F,26
871,M,35
872,F,45
873,F,27
874,M,21
875,M,46
876,M,40
877,M,18
878,M,25
879,F,48
880,M,64
881,F,40
882,M,31
883,M,52
884,F,21
885,M,17
886,F,53
887,M,56
888,M,68
889,F,55
890,M,47
891,M,39
892,M,64
893,F,68
894,M,63
895,M,29
896,F,22
897,M,48
898,M,75
899,M,23
900,F,34
901,M,39
902,F,48
903,M,62
904,F,57
905,M,29
906,M,33
907,F,58
908,M,57
909,F,37
910,F,42
911,F,68
912,M,33
913,F,33
914,F,46
915,F,27
916,M,21
917,M,20
918,M,42
919,M,42
920,F,80
921,M,82
922,F,29
923,M,36
924,F,40
925,F,44
926,F,73
927,F,31
928,M,33
929,M,38
930,M,39
931,M,50
932,F,52
933,M,44
934,M,47
935,F,60
936,M,66
937,M,38
938,M,58
939,M,51
940,F,30
941,M,28
942,F,26
943,F,19
944,M,49
945,F,46
946,F,33
947,M,38
948,M,52
949,F,55
950,F,62
951,M,42
952,F,57
953,M,61
954,M,43
955,F,37
956,M,44
957,M,60
958,F,33
959,M,26
960,M,68
961,M,65
962,F,59
963,F,56
964,M,54
965,F,53
966,F,22
967,M,22
968,M,59
969,M,61
970,M,43
971,M,35
972,M,20
973,F,59
974,M,65
975,F,45
976,M,52
977,F,31
978,F,61
979,M,62
980,F,25
981,F,28
982,M,23
983,F,34
984,F,38
985,F,19
986,M,39
987,M,38
988,F,33
989,M,36
990,F,28
991,F,52
992,M,24
993,F,36
994,F,25
995,M,57
996,F,28
997,F,28
998,M,35
999,F,41
1000,M,75
1001,M,80
1002,M,36
1003,M,60
1004,F,24
1005,M,39
1006,F,42
1007,M,24
1008,F,23
1009,F,48
1010,M,42
1011,M,59
1012,M,47
1013,F,73
1014,F,61
1015,M,61
1016,M,74
1017,F,33
1018,M,75
1019,F,71
1020,F,65
1021,F,20
1022,M,79
1023,F,21
1024,M,38
1025,F,49
1026,M,29
1027,M,32
1028,M,62
1029,F,55
1030,F,67
1031,M,26
1032,F,21
1033,F,30
1034,M,60
1035,F,60
1036,F,59
1037,F,37
1038,F,23
1039,F,39
1040,M,45
1041,F,73
1042,M,69
1043,F,51
1044,F,20
1045,M,48
1046,M,53
1047,M,64
1048,M,48
1049,F,44
1050,M,57
1051,F,59
1052,M,38
1053,F,44
1054,F,68
1055,F,71
1056,M,20
1057,F,69
1058,M,23
1059,M,19
1060,F,79
1061,F,26
1062,F,23
1063,M,30
1064,F,19
1065,F,26
1066,M,60
1067,M,78
1068,F,77
1069,M,71
1070,F,65
1071,M,64
1072,M,25
1073,M,69
1074,M,68
1075,F,59
1076,F,52
1077,M,51
1078,F,41
1079,M,40
1080,M,47
1081,F,23
1082,F,22
1083,F,29
1084,M,26
1085,M,53
1086,F,58
1087,F,53
1088,M,53
1089,F,31
1090,M,34
1091,M,69
1092,M,58
1093,F,23
1094,F,54
1095,M,26
1096,M,18
1097,F,19
1098,M,75
1099,F,77
1100,F,66
1101,F,41
1102,F,45
1103,M,55
1104,F,61
1105,M,26
1106,F,24
1107,M,35
1108,F,40
1109,F,57
1110,M,40
1111,F,45
1112,M,21
1113,F,58
1114,M,22
1115,F,25
1116,F,76
1117,M,77
1118,F,29
1119,M,74
1120,F,81
1121,F,60
1122,F,28
1123,F,69
1124,M,55
1125,M,60
1126,F,53
1127,M,57
1128,F,52
1129,F,38
1130,M,31
1131,F,67
1132,F,23
1133,M,22
1134,F,74
1135,M,73
1136,F,60
1137,F,60
1138,M,56
1139,F,33
1140,F,24
1141,F,23
1142,F,68
1143,M,54
1144,F,19
1145,F,25
1146,M,42
1147,F,60
1148,F,24
1149,F,42
1150,M,38
1151,M,21
1152,F,72
1153,M,33
1154,M,59
1155,M,55
1156,F,54
1157,M,62
1158,M,19
1159,M,55
1160,F,46
1161,F,26
1162,F,60
1163,F,44
1164,M,61
1165,M,53
1166,F,48
1167,M,44
1168,F,50
1169,M,28
1170,F,34
1171,M,40
1172,M,57
1173,M,24
1174,F,20
1175,F,32
1176,M,76
1177,M,64
1178,F,23
1179,F,23
1180,F,57
1181,F,55
1182,F,25
1183,M,35
1184,M,20
1185,M,37
1186,F,30
1187,M,28
1188,F,47
1189,M,40
1190,F,46
1191,F,32
1192,F,60
1193,F,33
1194,F,44
1195,F,71
1196,M,75
1197,M,33
1198,F,54
1199,M,48
1200,M,47
1201,F,40
1202,F,23
1203,F,41
1204,F,47
1205,F,45
1206,M,50
1207,F,51
1208,M,69
1209,M,64
1210,M,55
1211,M,21
1212,M,23
1213,F,48
1214,F,57
1215,M,68
1216,M,21
1217,M,43
1218,M,47
1219,F,50
1220,M,63
1221,F,60
1222,M,56
1223,M,60
1224,F,49
1225,F,55
1226,M,27
1227,M,53
1228,M,23
1229,F,35
1230,M,22
1231,M,72
1232,F,69
1233,F,55
1234,F,40
1235,F,81
1236,M,78
1237,F,79
1238,M,20
1239,F,59
1240,M,63
1241,F,54
1242,F,77
1243,M,46
1244,M,45
1245,M,24
1246,F,22
1247,F,43
1248,F,64
1249,M,29
1250,F,24
1251,M,76
1252,F,53
1253,M,54
1254,M,68
1255,F,22
1256,F,54
1257,M,55
1258,F,43
1259,M,54
1260,F,43
1261,F,36
1262,F,62
1263,M,81
1264,M,31
1265,M,36
1266,F,42
1267,M,50
1268,M,21
1269,F,38
1270,M,37
1271,F,20
1272,M,16
1273,M,40
1274,F,60
1275,F,37
1276,F,60
1277,M,64
1278,M,31
1279,M,45
1280,M,29
1281,F,24
1282,F,31
1283,M,40
1284,F,48
1285,F,28
1286,M,40
1287,M,78
1288,F,23
1289,M,67
1290,F,48
1291,M,53
1292,F,77
1293,M,70
1294,F,20
1295,M,66
1296,F,61
1297,F,19
1298,F,34
1299,M,42
1300,M,21
1301,F,34
1302,F,51
1303,F,23
1304,F,24
1305,M,22
1306,M,41
1307,F,48
1308,F,58
1309,M,62
1310,F,46
1311,F,20
1312,M,17
1313,F,46
1314,M,46
1315,F,43
1316,F,22
1317,F,37
1318,F,72
1319,F,20
1320,M,34
1321,M,67
1322,F,65
1323,F,57
1324,M,58
1325,F,53
1326,F,78
1327,M,18
1328,M,63
1329,F,55
1330,F,31
1331,F,51
1332,M,58
1333,M,30
1334,M,48
1335,M,55
1336,F,60
1337,M,20
1338,F,30
1339,F,25
1340,M,72
1341,F,33
1342,F,25
1343,F,81
1344,M,83
1345,F,43
1346,F,23
1347,M,17
1348,M,47
1349,M,31
1350,F,35
1351,F,34
1352,M,79
1353,F,72
1354,F,17
1355,F,69
1356,F,38
1357,F,40
1358,M,32
1359,M,46
1360,F,36
1361,M,25
1362,M,21
1363,F,68
1364,M,66
1365,M,64
1366,F,57
1367,M,58
1368,M,45
1369,F,47
1370,F,42
1371,M,50
1372,F,30
1373,F,59
1374,F,33
1375,M,74
1376,F,72
1377,M,71
1378,F,65
1379,M,61
1380,M,23
1381,F,66
1382,M,30
1383,M,58
1384,F,63
1385,F,71
1386,M,68
1387,M,46
1388,M,75
1389,F,59
1390,F,33
1391,M,57
1392,F,61
1393,F,32
1394,F,68
1395,F,28
1396,M,67
1397,M,29
1398,M,30
1399,M,43
1400,M,56
1401,F,66
1402,F,49
1403,F,48
1404,M,47
1405,M,21
1406,F,25
1407,F,23
1408,M,38
1409,M,71
1410,M,71
1411,M,17
1412,F,31
1413,M,77
1414,F,84
1415,F,68
1416,F,57
1417,F,51
1418,M,58
1419,F,48
1420,M,18
1421,M,53
1422,M,26
1423,M,77
1424,F,81
1425,F,28
1426,M,68
1427,F,70
1428,F,45
1429,F,57
1430,F,51
1431,F,37
1432,F,57
1433,M,40
1434,M,42
1435,F,53
1436,M,43
1437,F,39
1438,M,40
1439,M,43
1440,M,20
1441,F,31
1442,F,68
1443,F,37
1444,M,56
1445,F,64
1446,M,65
1447,M,35
1448,F,27
1449,F,54
1450,F,39
1451,M,37
1452,M,39
1453,F,47
1454,M,63
1455,F,32
1456,M,20
1457,M,76
1458,M,62
1459,F,66
1460,M,80
1461,F,72
1462,M,69
1463,F,72
1464,M,76
1465,F,71
1466,F,53
1467,M,55
1468,M,49
1469,M,49
1470,F,40
1471,F,72
1472,M,59
1473,F,76
1474,M,80
1475,M,21
1476,F,52
1477,M,39
1478,F,33
1479,M,69
1480,F,72
1481,F,43
1482,M,41
1483,F,32
1484,F,36
1485,M,20
1486,F,76
1487,M,80
1488,M,55
1489,F,28
1490,M,36
1491,F,31
1492,F,36
1493,M,65
1494,F,27
1495,F,37
1496,M,64
1497,F,65
1498,M,71
1499,M,49
1500,F,48
1501,F,59
1502,F,46
1503,M,71
1504,F,74
1505,M,60
1506,F,45
1507,F,21
1508,M,43
1509,M,74
1510,M,35
1511,F,34
1512,F,30
1513,M,31
1514,M,31
1515,F,30
1516,F,19
1517,M,17
1518,F,58
1519,M,58
1520,F,55
1521,F,57
1522,F,36
1523,M,40
1524,M,38
1525,M,61
1526,F,47
1527,M,61
1528,F,49
1529,F,20
1530,F,57
1531,M,63
1532,F,47
1533,M,49
1534,M,36
1535,M,34
1536,F,26
1537,F,42
1538,M,33
1539,F,35
1540,M,23
1541,F,56
1542,F,27
1543,M,30
1544,F,69
1545,M,67
1546,M,56
1547,F,45
1548,F,40
1549,F,46
1550,F,76
1551,F,40
1552,F,23
1553,M,23
1554,F,38
1555,M,33
1556,F,21
1557,M,47
1558,F,49
1559,M,46
1560,F,33
1561,M,55
1562,M,36
1563,M,27
1564,F,31
1565,M,64
1566,F,70
1567,F,62
1568,F,17
1569,F,46
1570,M,32
1571,M,42
1572,F,81
1573,M,87
1574,M,58
1575,F,59
1576,F,50
1577,M,47
1578,M,38
1579,F,68
1580,M,71
1581,M,27
1582,F,79
1583,M,59
1584,M,46
1585,F,53
1586,F,57
1587,F,24
1588,M,59
1589,M,43
1590,F,48
1591,M,53
1592,F,55
1593,F,52
1594,M,52
1595,M,76
1596,M,63
1597,F,52
1598,F,21
1599,M,27
1600,F,19
1601,M,20
1602,F,76
1603,F,35
1604,M,32
1605,M,44
1606,M,50
1607,F,54
1608,F,26
1609,M,81
1610,F,85
1611,F,53
1612,M,55
1613,M,48
1614,F,47
1615,M,55
1616,F,37
1617,M,35
1618,M,64
1619,M,54
1620,F,20
1621,M,61
1622,M,29
1623,F,65
1624,M,65
1625,M,66
1626,F,18
1627,F,65
1628,F,40
1629,M,47
1630,M,48
1631,F,53
1632,M,52
1633,M,67
1634,F,31
1635,F,25
1636,M,24
1637,F,23
1638,F,20
1639,M,44
1640,F,36
1641,M,67
1642,M,45
1643,M,40
1644,F,30
1645,F,40
1646,F,40
1647,M,43
1648,M,23
1649,F,71
1650,M,35
1651,M,40
1652,M,21
1653,F,20
1654,M,20
1655,F,34
1656,M,63
1657,F,62
1658,M,52
1659,F,76
1660,M,76
1661,M,51
1662,M,43
1663,M,32
1664,M,28
1665,M,24
1666,M,48
1667,M,50
1668,F,48
1669,F,72
1670,F,20
1671,F,28
1672,M,56
1673,F,45
1674,F,36
1675,M,31
1676,M,64
1677,F,45
1678,M,75
1679,M,51
1680,F,53
1681,F,19
1682,M,24
1683,F,65
1684,M,68
1685,M,49
1686,F,66
1687,M,46
1688,F,33
1689,M,24
1690,F,54
1691,F,59
1692,F,39
1693,M,61
1694,F,58
1695,M,66
1696,M,40
1697,F,56
1698,M,29
1699,F,35
1700,F,53
1701,M,47
1702,M,64
1703,F,66
1704,M,68
1705,M,80
1706,M,60
1707,F,52
1708,M,50
1709,M,59
1710,F,22
1711,M,48
1712,F,46
1713,M,43
1714,F,20
1715,F,71
1716,M,58
1717,F,77
1718,F,21
1719,M,39
1720,F,25
1721,M,62
1722,F,58
1723,M,37
1724,F,57
1725,M,47
1726,M,23
1727,F,33
1728,M,33
1729,M,72
1730,F,71
1731,F,55
1732,M,42
1733,F,40
1734,F,63
1735,M,64
1736,F,46
1737,M,56
1738,F,60
1739,F,77
1740,M,81
1741,M,19
1742,F,20
1743,F,75
1744,F,77
1745,F,57
1746,F,24
1747,M,37
1748,M,34
1749,F,67
1750,F,31
1751,M,35
1752,F,35
1753,M,42
1754,F,22
1755,M,47
1756,M,51
1757,F,50
1758,F,57
1759,F,55
1760,M,19
1761,F,66
1762,M,64
1763,F,19
1764,F,36
1765,M,31
1766,M,53
1767,M,23
1768,M,48
1769,F,42
1770,M,36
1771,F,55
1772,M,25
1773,M,65
1774,F,67
1775,F,38
1776,F,23
1777,F,29
1778,M,79
1779,M,73
1780,F,81
1781,F,42
1782,F,44
1783,F,40
1784,M,71
1785,F,65
1786,F,52
1787,F,34
1788,M,17
1789,F,30
1790,M,38
1791,M,58
1792,M,34
1793,F,37
1794,F,60
1795,M,58
1796,F,50
1797,M,77
1798,F,71
1799,M,79
1800,F,55
1801,M,53
1802,F,61
1803,M,27
1804,M,31
1805,F,57
1806,M,60
1807,M,73
1808,F,30
1809,M,50
1810,M,24
1811,F,53
1812,M,50
1813,F,41
1814,M,61
1815,M,61
1816,F,64
1817,M,47
1818,F,47
1819,F,44
1820,F,65
1821,F,57
1822,F,59
1823,F,66
1824,F,70
1825,F,44
1826,M,39
1827,F,60
1828,M,74
1829,F,76
1830,F,78
1831,M,84
1832,M,73
1833,F,42
1834,M,45
1835,M,64
1836,M,18
1837,F,60
1838,M,57
1839,M,70
1840,M,28
1841,F,28
1842,M,34
1843,M,47
1844,F,28
1845,F,74
1846,M,27
1847,F,22
1848,M,79
1849,M,53
1850,F,79
1851,M,49
1852,M,54
1853,M,68
1854,M,60
1855,F,51
1856,F,36
1857,M,39
1858,F,73
1859,F,52
1860,F,30
1861,F,53
1862,F,68
1863,M,81
1864,F,84
1865,M,81
1866,F,64
1867,F,47
1868,F,73
1869,M,40
1870,F,29
1871,M,22
1872,F,17
1873,M,73
1874,M,62
1875,F,57
1876,M,47
1877,F,60
1878,M,56
1879,M,81
1880,M,24
1881,F,32
1882,F,58
1883,M,62
1884,F,22
1885,F,21
1886,F,17
1887,F,57
1888,F,22
1889,F,81
1890,M,78
1891,F,25
1892,M,20
1893,F,37
1894,M,41
1895,M,59
1896,M,63
1897,M,47
1898,F,74
1899,M,76
1900,F,59
1901,F,31
1902,M,65
1903,F,68
1904,F,54
1905,M,67
1906,F,74
1907,M,80
1908,M,60
1909,F,68
1910,M,65
1911,M,58
1912,F,65
1913,M,69
1914,F,75
1915,F,76
1916,F,19
1917,M,73
1918,M,56
1919,F,62
1920,M,73
1921,F,71
1922,F,51
1923,F,19
1924,F,30
1925,M,55
1926,M,43
1927,M,17
1928,F,45
1929,F,38
1930,M,43
1931,F,47
1932,F,56
1933,F,71
1934,M,72
1935,F,67
1936,F,81
1937,M,85
1938,M,81
1939,M,51
1940,F,23
1941,M,21
1942,F,23
1943,M,28
1944,M,27
1945,F,28
1946,M,46
1947,F,45
1948,F,49
1949,M,73
1950,M,21
1951,M,27
1952,M,20
1953,F,69
1954,F,76
1955,F,27
1956,M,26
1957,F,55
1958,M,43
1959,F,38
1960,M,77
1961,F,42
1962,F,69
1963,F,21
1964,F,74
1965,M,36
1966,F,27
1967,M,66
1968,M,56
1969,F,70
1970,M,71
1971,F,45
1972,M,22
1973,F,51
1974,F,32
1975,M,29
1976,F,71
1977,M,54
1978,M,29
1979,F,24
1980,M,25
1981,F,25
1982,M,63
1983,F,60
1984,M,81
1985,F,68
1986,M,64
1987,M,58
1988,F,55
1989,M,51
1990,F,52
1991,F,78
1992,M,76
1993,F,54
1994,F,49
1995,F,32
1996,F,75
1997,M,72
1998,M,62
1999,M,81
2000,F,85
2001,M,69
2002,M,54
2003,M,29
2004,F,39
2005,M,20
2006,F,29
2007,M,17
2008,F,50
2009,M,24
2010,F,24
2011,F,44
2012,M,37
2013,F,54
2014,F,24
2015,M,30
2016,F,78
2017,M,82
2018,F,59
2019,F,59
2020,F,37
2021,M,19
2022,F,67
2023,M,73
2024,M,48
2025,F,58
2026,M,51
2027,F,39
2028,F,31
2029,M,26
2030,F,36
2031,F,46
2032,F,76
2033,M,58
2034,F,54
2035,F,70
2036,F,50
2037,F,42
2038,M,41
2039,F,33
2040,M,54
2041,M,18
2042,F,69
2043,M,54
2044,F,79
2045,M,86
2046,M,81
2047,M,58
2048,F,54
2049,F,52
2050,M,18
2051,F,36
2052,M,28
2053,M,57
2054,M,41
2055,F,70
2056,F,48
2057,F,47
2058,F,57
2059,M,53
2060,F,57
2061,M,60
2062,F,60
2063,F,27
2064,M,31
2065,F,70
2066,M,68
2067,M,29
2068,F,42
2069,F,57
2070,M,66
2071,F,74
2072,F,37
2073,M,25
2074,F,20
2075,F,43
2076,M,47
2077,F,38
2078,F,57
2079,F,44
2080,F,37
2081,F,79
2082,M,88
2083,M,46
2084,M,70
2085,F,71
2086,M,60
2087,F,53
2088,M,47
2089,F,35
2090,F,38
2091,M,40
2092,F,72
2093,M,66
2094,F,79
2095,M,27
2096,M,31
2097,M,53
2098,M,74
2099,F,27
2100,M,25
2101,M,31
2102,F,35
2103,F,47
2104,M,54
2105,F,65
2106,F,56
2107,M,67
2108,F,39
2109,F,35
2110,M,24
2111,F,59
2112,M,55
2113,M,30
2114,F,28
2115,M,32
2116,F,35
2117,F,59
2118,F,21
2119,M,41
2120,F,45
2121,F,23
2122,F,67
2123,M,73
2124,F,23
2125,M,19
2126,F,46
2127,F,21
2128,M,24
2129,F,54
2130,F,61
2131,F,28
2132,M,34
2133,F,42
2134,F,72
2135,F,76
2136,M,25
2137,F,20
2138,M,20
2139,F,49
2140,F,37
